AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,RS123,Attribute,565.5146495,463.9947243,660.0512764,914.840845,750.6106882,1067.774015,3.152686496,2.586721981,3.679720256
pm25v0,RS122,Attribute,230.3103186,192.0055086,267.4141853,821.7510854,685.0787366,954.1384989,3.236331359,2.698031853,3.757768764
pm25v0,RS121,Attribute,155.1309861,130.374344,178.9580058,890.1439812,748.0896625,1026.864218,3.114723219,2.617639427,3.593148355
pm25v0,RS110,Attribute,1037.902309,861.156796,1207.193201,614.6125241,509.9495201,714.8611289,3.242634447,2.690448206,3.771528885
pm25v0,RO424,Attribute,234.6244279,190.2879411,277.0859437,345.0674701,279.8623258,407.5144404,2.808144264,2.277496903,3.316349976
pm25v0,RO423,Attribute,103.6617892,85.85650255,120.4427653,235.6248504,195.1507674,273.771436,1.86860258,1.547642334,2.17109962
pm25v0,RO422,Attribute,93.35850647,80.5580603,106.2957533,303.1522347,261.5843356,345.1651902,2.306770125,1.990477892,2.626445713
pm25v0,RO421,Attribute,170.7977675,150.4540998,190.3427728,385.2897154,339.3963482,429.3817957,2.783704803,2.452127443,3.102267784
pm25v0,RO415,Attribute,86.19624888,73.30358251,97.63266774,220.3311696,187.3744606,249.5656697,2.040295878,1.735101764,2.311023798
pm25v0,RO414,Attribute,207.8428763,180.99715,232.9588775,463.5962786,403.7124432,519.6227887,3.3499545,2.917251264,3.754780825
pm25v0,RO413,Attribute,135.7055534,111.9210531,158.1496791,486.0445777,400.8486683,566.4428689,3.434567905,2.832568509,4.002656792
pm25v0,RO412,Attribute,97.12243456,84.41542238,110.1741012,271.9162904,236.3380528,308.4601797,2.414433216,2.098536239,2.738899795
pm25v0,RO411,Attribute,363.8137339,317.4519737,409.6839217,533.8332412,465.8011869,601.145194,3.651570451,3.18623244,4.111977009
pm25v0,RO322,Attribute,92.35030811,71.6627495,113.1570034,263.2745901,204.3076525,322.5753958,2.68250509,2.081647757,3.28678993
pm25v0,RO321,Attribute,542.8456381,390.4219866,692.6147748,286.1187425,205.779363,365.0598588,2.159620208,1.553240219,2.755430692
pm25v0,RO317,Attribute,234.2883556,199.8497295,269.0052312,601.9603898,513.469603,691.168674,3.582990895,3.056281639,4.113968677
pm25v0,RO316,Attribute,215.9197212,191.0811681,240.5490852,275.3356457,243.6610439,306.7437639,2.185969371,1.934504898,2.435315807
pm25v0,RO315,Attribute,120.9292895,105.4233161,135.1462315,433.2598809,377.7024976,484.1995737,3.436098867,2.995508274,3.840063146
pm25v0,RO314,Attribute,155.716666,135.2232598,176.1996128,554.7378725,481.7287217,627.7103017,3.800667741,3.30045429,4.300631731
pm25v0,RO313,Attribute,144.3916705,127.5029939,161.7487088,276.8539023,244.4711708,310.1348752,2.348229544,2.073569151,2.630507254
pm25v0,RO312,Attribute,145.2590167,126.8874199,163.9262221,473.0413194,413.2109815,533.8351301,3.583179566,3.129991404,4.043661704
pm25v0,RO311,Attribute,121.5851317,106.4738593,136.7214898,195.4791776,171.1834776,219.8153439,1.658330265,1.452225303,1.86477695
pm25v0,RO226,Attribute,132.3327879,111.2416719,152.8310224,364.6194101,306.5018075,421.1050584,2.922517744,2.456731616,3.375209333
pm25v0,RO225,Attribute,82.45120705,71.92761926,92.27123578,362.7256743,316.4261791,405.9306837,2.84811264,2.484595192,3.187327254
pm25v0,RO224,Attribute,208.2746019,176.0850902,238.7772098,366.2533784,309.6436885,419.8977982,3.141521731,2.656005699,3.601588559
pm25v0,RO223,Attribute,185.3032967,159.2977466,211.2403432,264.5399308,227.4136258,301.5686515,2.389751803,2.054385636,2.724230378
pm25v0,RO222,Attribute,195.5275014,165.2032187,225.419018,422.7029688,357.141922,487.3299078,3.057245614,2.583099614,3.524624579
pm25v0,RO221,Attribute,143.0604694,122.2643364,162.5152739,426.2543759,364.2858468,484.2277548,3.064605249,2.619131447,3.481341569
pm25v0,RO216,Attribute,159.2841472,132.7323158,184.3559004,377.1142086,314.2454357,436.4806509,3.110140258,2.591706931,3.599670557
pm25v0,RO215,Attribute,146.354256,117.5985019,174.7558867,218.5979071,175.6462849,261.0212626,1.958444681,1.573654926,2.338492714
pm25v0,RO214,Attribute,134.7276709,108.4505376,159.3079055,263.0552473,211.7442054,311.0550057,2.148737025,1.729660105,2.54074664
pm25v0,RO213,Attribute,249.1053574,206.1854291,290.7022519,310.4808237,256.9856615,362.3271525,2.67392645,2.213236802,3.12040784
pm25v0,RO212,Attribute,160.2071286,134.0461777,185.4577096,375.0259489,313.7824041,434.1397326,2.916059999,2.43988293,3.375666815
pm25v0,RO211,Attribute,183.3261167,154.220331,211.2086602,276.9823938,233.0034082,319.1144296,2.238943276,1.883490021,2.579453186
pm25v0,RO126,Attribute,75.60555564,64.11031522,87.0901504,183.1373765,155.2921905,210.9569779,1.648457043,1.397827528,1.898852423
pm25v0,RO125,Attribute,155.020902,129.3604645,177.8377563,274.3737396,228.9556942,314.7591698,2.107489251,1.758641203,2.417678632
pm25v0,RO124,Attribute,53.13648529,39.871193,65.68636565,167.0407161,125.3390514,206.4937803,1.470464895,1.103367287,1.817766024
pm25v0,RO123,Attribute,36.81648988,28.65356208,44.53778556,170.7279161,132.8734398,206.5348021,1.505815918,1.171948395,1.821619959
pm25v0,RO122,Attribute,81.60782204,64.05658174,98.2804053,142.1198192,111.5540097,171.1556188,1.347209101,1.057471683,1.62243938
pm25v0,RO121,Attribute,93.15412557,82.12091976,104.9694609,260.0932401,229.2858386,293.085099,2.141054501,1.887459206,2.412629256
pm25v0,RO116,Attribute,71.17373388,62.90141516,79.78323204,305.8384465,270.2894589,342.837046,2.38218022,2.105295664,2.670353562
pm25v0,RO115,Attribute,123.3129765,105.1060272,141.0642881,347.6058533,296.28031,397.6476667,2.812611178,2.397322447,3.217510976
